country,iso2c,iso3c,year,GDPpc,Life,Gini,CO2pc
Ethiopia,ET,ETH,2021,2588.41310213778,65.33,31.1,0.156331429015701
Ethiopia,ET,ETH,2022,2844.47188098448,66.897,NA,0.146229646781817
Ethiopia,ET,ETH,2023,3063.42789983124,67.315,NA,0.147767891652244
Germany,DE,DEU,2015,48567.1117562648,80.6414634146341,31.4,9.60884887243027
Germany,DE,DEU,2016,51555.3799963446,80.990243902439,31.3,9.58423383867929
Germany,DE,DEU,2017,54142.7414864571,80.9926829268293,31.3,9.36976518940283
Germany,DE,DEU,2018,56320.6026829454,80.8926829268293,31.9,9.00657809367265
Germany,DE,DEU,2019,59310.9693966204,81.2926829268293,32.2,8.38218043063623
Germany,DE,DEU,2020,58704.5861986404,81.0414634146342,32.5,7.72103264767393
Germany,DE,DEU,2021,62630.7748127737,80.790243902439,33.6,8.06128144646434
Germany,DE,DEU,2022,69669.6495435563,80.6080487804878,33.7,7.91182860265874
Germany,DE,DEU,2023,72262.2235142279,81.0414634146342,NA,7.07982839106762
India,IN,IND,2015,5269.11774528716,69.326,NA,1.71550269097521
India,IN,IND,2016,5633.77275665841,69.709,NA,1.7202923565219
India,IN,IND,2017,5968.11490280172,70.068,NA,1.79545339877531
India,IN,IND,2018,6521.97490856972,70.415,NA,1.85989309419052
India,IN,IND,2019,6945.40309824538,70.746,NA,1.83688223212799
India,IN,IND,2020,6766.06119055994,70.156,NA,1.68040016064392
India,IN,IND,2021,7818.65701757504,67.282,NA,1.83702951699406
India,IN,IND,2022,8941.09277447514,71.698,25.5,1.96929618962877
India,IN,IND,2023,9853.04309264591,72.003,NA,2.09622858892568
Japan,JP,JPN,2015,41722.3895623635,83.7939024390244,30.7,9.69456115651128
Japan,JP,JPN,2016,41462.5069772969,83.9848780487805,31.8,9.66865261733136
Japan,JP,JPN,2017,42346.876013211,84.099756097561,31.8,9.55283290804272
Japan,JP,JPN,2018,43090.0699981402,84.2109756097561,32.9,9.17213648658239
Japan,JP,JPN,2019,43743.5313931194,84.3563414634146,33,8.87456666113888
Japan,JP,JPN,2020,43560.021428549,84.56,32.3,8.39710520271501
Japan,JP,JPN,2021,45999.4617966896,84.4456097560976,NA,8.5947828493867
Japan,JP,JPN,2022,49245.964174373,83.9963414634146,NA,8.3956307081074
Japan,JP,JPN,2023,52726.2389417641,84.0412195121951,NA,8.05063579850566
"Korea, Rep.",KR,KOR,2015,39794.1961180043,82.0243902439024,NA,12.6198190502874
"Korea, Rep.",KR,KOR,2016,41672.6278317077,82.2756097560976,35.2,12.6677788190173
"Korea, Rep.",KR,KOR,2017,43155.9100867658,82.6268292682927,34.9,12.952944838832
"Korea, Rep.",KR,KOR,2018,45511.0803506331,82.6268292682927,33.7,13.1917269531809
"Korea, Rep.",KR,KOR,2019,46511.2196957018,83.2268292682927,33.2,12.6531894575046
"Korea, Rep.",KR,KOR,2020,47881.4921344193,83.4268292682927,32.7,11.9094442789339
"Korea, Rep.",KR,KOR,2021,51718.2518656631,83.5268292682927,32.9,12.3387268331673
"Korea, Rep.",KR,KOR,2022,55509.3368761174,82.6804878048781,NA,11.8737409785064
"Korea, Rep.",KR,KOR,2023,57429.8031076402,83.4292682926829,NA,11.4162657281001
Norway,NO,NOR,2015,62695.3563994725,82.3048780487805,27.5,9.24221086700149
Norway,NO,NOR,2016,61250.1783294516,82.4073170731707,28.5,9.04975223129384
Norway,NO,NOR,2017,66828.7790099243,82.609756097561,27,8.98402264330578
Norway,NO,NOR,2018,72618.1053391628,82.7585365853659,27.6,8.78033462878555
Norway,NO,NOR,2019,73630.0721860814,82.9585365853659,27.7,8.47933467666537
Norway,NO,NOR,2020,69779.2862630574,83.209756097561,28.4,8.12493784244745
